TABLE_NAME,COLUMN_NAME,COLUMN_DATA_TYPE,HISTOGRAM_TYPE,BIN_ID,MIN,MAX,HEIGHT,DISTINCT_COUNT
movie_keyword,id,int,MaxDiffFr,0,1,3015908,3.01591e+06,3.01591e+06
movie_keyword,id,int,MaxDiffFr,1,3015908,3015909,1,1
movie_keyword,id,int,MaxDiffFr,2,3015909,3015910,1,1
movie_keyword,id,int,MaxDiffFr,3,3015910,3015911,1,1
movie_keyword,id,int,MaxDiffFr,4,3015911,3015912,1,1
movie_keyword,id,int,MaxDiffFr,5,3015912,3015913,1,1
movie_keyword,id,int,MaxDiffFr,6,3015913,3015914,1,1
movie_keyword,id,int,MaxDiffFr,7,3015914,3015915,1,1
movie_keyword,id,int,MaxDiffFr,8,3015915,3015916,1,1
movie_keyword,id,int,MaxDiffFr,9,3015916,3015917,1,1
movie_keyword,id,int,MaxDiffFr,10,3015917,3015918,1,1
movie_keyword,id,int,MaxDiffFr,11,3015918,3015919,1,1
movie_keyword,id,int,MaxDiffFr,12,3015919,3015920,1,1
movie_keyword,id,int,MaxDiffFr,13,3015920,3015921,1,1
movie_keyword,id,int,MaxDiffFr,14,3015921,3015922,1,1
movie_keyword,id,int,MaxDiffFr,15,3015922,3015923,1,1
movie_keyword,id,int,MaxDiffFr,16,3015923,3015924,1,1
movie_keyword,id,int,MaxDiffFr,17,3015924,3015925,1,1
movie_keyword,id,int,MaxDiffFr,18,3015925,3015926,1,1
movie_keyword,id,int,MaxDiffFr,19,3015926,3015927,1,1
movie_keyword,id,int,MaxDiffFr,20,3015927,3015928,1,1
movie_keyword,id,int,MaxDiffFr,21,3015928,3015929,1,1
movie_keyword,id,int,MaxDiffFr,22,3015929,3015930,1,1
movie_keyword,id,int,MaxDiffFr,23,3015930,3015931,1,1
movie_keyword,id,int,MaxDiffFr,24,3015931,3015932,1,1
movie_keyword,id,int,MaxDiffFr,25,3015932,3015933,1,1
movie_keyword,id,int,MaxDiffFr,26,3015933,3015934,1,1
movie_keyword,id,int,MaxDiffFr,27,3015934,3015935,1,1
movie_keyword,id,int,MaxDiffFr,28,3015935,3015936,1,1
movie_keyword,id,int,MaxDiffFr,29,3015936,3015937,1,1
movie_keyword,id,int,MaxDiffFr,30,3015937,3015938,1,1
movie_keyword,id,int,MaxDiffFr,31,3015938,3015939,1,1
movie_keyword,id,int,MaxDiffFr,32,3015939,3015940,1,1
movie_keyword,id,int,MaxDiffFr,33,3015940,3015941,1,1
movie_keyword,id,int,MaxDiffFr,34,3015941,3015942,1,1
movie_keyword,id,int,MaxDiffFr,35,3015942,3015943,1,1
movie_keyword,id,int,MaxDiffFr,36,3015943,3015944,1,1
movie_keyword,id,int,MaxDiffFr,37,3015944,3015945,1,1
movie_keyword,id,int,MaxDiffFr,38,3015945,3015946,1,1
movie_keyword,id,int,MaxDiffFr,39,3015946,3015947,1,1
movie_keyword,id,int,MaxDiffFr,40,3015947,3015948,1,1
movie_keyword,id,int,MaxDiffFr,41,3015948,3015949,1,1
movie_keyword,id,int,MaxDiffFr,42,3015949,3015950,1,1
movie_keyword,id,int,MaxDiffFr,43,3015950,3015951,1,1
movie_keyword,id,int,MaxDiffFr,44,3015951,3015952,1,1
movie_keyword,id,int,MaxDiffFr,45,3015952,3015953,1,1
movie_keyword,id,int,MaxDiffFr,46,3015953,3015954,1,1
movie_keyword,id,int,MaxDiffFr,47,3015954,3015955,1,1
movie_keyword,id,int,MaxDiffFr,48,3015955,3015956,1,1
movie_keyword,id,int,MaxDiffFr,49,3015956,3015957,1,1
movie_keyword,id,int,MaxDiffFr,50,3015957,3015958,1,1
movie_keyword,id,int,MaxDiffFr,51,3015958,3015959,1,1
movie_keyword,id,int,MaxDiffFr,52,3015959,3015960,1,1
movie_keyword,id,int,MaxDiffFr,53,3015960,3015961,1,1
movie_keyword,id,int,MaxDiffFr,54,3015961,3015962,1,1
movie_keyword,id,int,MaxDiffFr,55,3015962,3015963,1,1
movie_keyword,id,int,MaxDiffFr,56,3015963,3015964,1,1
movie_keyword,id,int,MaxDiffFr,57,3015964,3015965,1,1
movie_keyword,id,int,MaxDiffFr,58,3015965,3015966,1,1
movie_keyword,id,int,MaxDiffFr,59,3015966,3015967,1,1
movie_keyword,id,int,MaxDiffFr,60,3015967,3015968,1,1
movie_keyword,id,int,MaxDiffFr,61,3015968,3015969,1,1
movie_keyword,id,int,MaxDiffFr,62,3015969,3015970,1,1
movie_keyword,id,int,MaxDiffFr,63,3015970,3015971,1,1
movie_keyword,id,int,MaxDiffFr,64,3015971,3015972,1,1
movie_keyword,id,int,MaxDiffFr,65,3015972,3015973,1,1
movie_keyword,id,int,MaxDiffFr,66,3015973,3015974,1,1
movie_keyword,id,int,MaxDiffFr,67,3015974,3015975,1,1
movie_keyword,id,int,MaxDiffFr,68,3015975,3015976,1,1
movie_keyword,id,int,MaxDiffFr,69,3015976,3015977,1,1
movie_keyword,id,int,MaxDiffFr,70,3015977,3016011,34,34
movie_keyword,id,int,MaxDiffFr,71,3016011,3016012,1,1
movie_keyword,id,int,MaxDiffFr,72,3016012,3016013,1,1
movie_keyword,id,int,MaxDiffFr,73,3016013,3016014,1,1
movie_keyword,id,int,MaxDiffFr,74,3016014,3016015,1,1
movie_keyword,id,int,MaxDiffFr,75,3016015,3016016,1,1
movie_keyword,id,int,MaxDiffFr,76,3016016,3016017,1,1
movie_keyword,id,int,MaxDiffFr,77,3016017,3016018,1,1
movie_keyword,id,int,MaxDiffFr,78,3016018,3016019,1,1
movie_keyword,id,int,MaxDiffFr,79,3016019,3016020,1,1
movie_keyword,id,int,MaxDiffFr,80,3016020,3016021,1,1
movie_keyword,id,int,MaxDiffFr,81,3016021,3016022,1,1
movie_keyword,id,int,MaxDiffFr,82,3016022,3016023,1,1
movie_keyword,id,int,MaxDiffFr,83,3016023,3016024,1,1
movie_keyword,id,int,MaxDiffFr,84,3016024,3016025,1,1
movie_keyword,id,int,MaxDiffFr,85,3016025,3016026,1,1
movie_keyword,id,int,MaxDiffFr,86,3016026,3016027,1,1
movie_keyword,id,int,MaxDiffFr,87,3016027,3016028,1,1
movie_keyword,id,int,MaxDiffFr,88,3016028,3016029,1,1
movie_keyword,id,int,MaxDiffFr,89,3016029,3016036,7,7
movie_keyword,id,int,MaxDiffFr,90,3016036,3016037,1,1
movie_keyword,id,int,MaxDiffFr,91,3016037,3016038,1,1
movie_keyword,id,int,MaxDiffFr,92,3016038,3016039,1,1
movie_keyword,id,int,MaxDiffFr,93,3016039,3016040,1,1
movie_keyword,id,int,MaxDiffFr,94,3016040,3016041,1,1
movie_keyword,id,int,MaxDiffFr,95,3016041,3016042,1,1
movie_keyword,id,int,MaxDiffFr,96,3016042,3016043,1,1
movie_keyword,id,int,MaxDiffFr,97,3016043,3016044,1,1
movie_keyword,id,int,MaxDiffFr,98,3016044,3016045,1,1
movie_keyword,id,int,MaxDiffFr,99,3016045,4523930,1.50788e+06,1.50788e+06
movie_keyword,movie_id,int,MaxDiffFr,0,2,527911,279654,46201
movie_keyword,movie_id,int,MaxDiffFr,1,527911,527938,372,1
movie_keyword,movie_id,int,MaxDiffFr,2,527938,1096471,265106,43590
movie_keyword,movie_id,int,MaxDiffFr,3,1096471,1096489,401,1
movie_keyword,movie_id,int,MaxDiffFr,4,1096489,1648170,340284,52334
movie_keyword,movie_id,int,MaxDiffFr,5,1648170,1664808,48772,5235
movie_keyword,movie_id,int,MaxDiffFr,6,1664808,1664810,413,1
movie_keyword,movie_id,int,MaxDiffFr,7,1664810,1715612,200949,20018
movie_keyword,movie_id,int,MaxDiffFr,8,1715612,1731195,65303,6946
movie_keyword,movie_id,int,MaxDiffFr,9,1731195,1731197,357,1
movie_keyword,movie_id,int,MaxDiffFr,10,1731197,1741160,52723,5207
movie_keyword,movie_id,int,MaxDiffFr,11,1741160,1741164,370,1
movie_keyword,movie_id,int,MaxDiffFr,12,1741164,1746972,29493,2629
movie_keyword,movie_id,int,MaxDiffFr,13,1746972,1775568,123001,11779
movie_keyword,movie_id,int,MaxDiffFr,14,1775568,1807162,131256,11925
movie_keyword,movie_id,int,MaxDiffFr,15,1807162,1807166,390,1
movie_keyword,movie_id,int,MaxDiffFr,16,1807166,1817368,47519,3977
movie_keyword,movie_id,int,MaxDiffFr,17,1817368,1817376,395,1
movie_keyword,movie_id,int,MaxDiffFr,18,1817376,1821254,7012,1117
movie_keyword,movie_id,int,MaxDiffFr,19,1821254,1821256,435,1
movie_keyword,movie_id,int,MaxDiffFr,20,1821256,1850328,110578,10835
movie_keyword,movie_id,int,MaxDiffFr,21,1850328,1850329,385,1
movie_keyword,movie_id,int,MaxDiffFr,22,1850329,1880793,91808,9764
movie_keyword,movie_id,int,MaxDiffFr,23,1880793,1886991,27350,2455
movie_keyword,movie_id,int,MaxDiffFr,24,1886991,1923514,151449,14651
movie_keyword,movie_id,int,MaxDiffFr,25,1923514,1923515,503,1
movie_keyword,movie_id,int,MaxDiffFr,26,1923515,1923853,1631,120
movie_keyword,movie_id,int,MaxDiffFr,27,1923853,1923855,428,1
movie_keyword,movie_id,int,MaxDiffFr,28,1923855,1927901,16740,1483
movie_keyword,movie_id,int,MaxDiffFr,29,1927901,1927902,386,1
movie_keyword,movie_id,int,MaxDiffFr,30,1927902,1962189,146134,13511
movie_keyword,movie_id,int,MaxDiffFr,31,1962189,1962193,408,1
movie_keyword,movie_id,int,MaxDiffFr,32,1962193,1966809,17656,1684
movie_keyword,movie_id,int,MaxDiffFr,33,1966809,1966812,444,1
movie_keyword,movie_id,int,MaxDiffFr,34,1966812,1974799,32485,2988
movie_keyword,movie_id,int,MaxDiffFr,35,1974799,1974800,416,1
movie_keyword,movie_id,int,MaxDiffFr,36,1974800,1990082,56889,5295
movie_keyword,movie_id,int,MaxDiffFr,37,1990082,1990091,358,1
movie_keyword,movie_id,int,MaxDiffFr,38,1990091,2018118,102067,9911
movie_keyword,movie_id,int,MaxDiffFr,39,2018118,2018121,350,1
movie_keyword,movie_id,int,MaxDiffFr,40,2018121,2036252,64823,6105
movie_keyword,movie_id,int,MaxDiffFr,41,2036252,2038024,7179,586
movie_keyword,movie_id,int,MaxDiffFr,42,2038024,2038027,372,1
movie_keyword,movie_id,int,MaxDiffFr,43,2038027,2043337,14602,1511
movie_keyword,movie_id,int,MaxDiffFr,44,2043337,2043348,462,1
movie_keyword,movie_id,int,MaxDiffFr,45,2043348,2068063,84956,8009
movie_keyword,movie_id,int,MaxDiffFr,46,2068063,2079779,43740,4512
movie_keyword,movie_id,int,MaxDiffFr,47,2079779,2079781,364,1
movie_keyword,movie_id,int,MaxDiffFr,48,2079781,2092975,50020,4684
movie_keyword,movie_id,int,MaxDiffFr,49,2092975,2092978,374,1
