TABLE_NAME,COLUMN_NAME,COLUMN_DATA_TYPE,HISTOGRAM_TYPE,BIN_ID,MIN,MAX,HEIGHT,DISTINCT_COUNT
movie_keyword,id,int,EqualDistinctCount,0,1,45240,45240,45240
movie_keyword,id,int,EqualDistinctCount,1,45241,90480,45240,45240
movie_keyword,id,int,EqualDistinctCount,2,90481,135720,45240,45240
movie_keyword,id,int,EqualDistinctCount,3,135721,180960,45240,45240
movie_keyword,id,int,EqualDistinctCount,4,180961,226200,45240,45240
movie_keyword,id,int,EqualDistinctCount,5,226201,271440,45240,45240
movie_keyword,id,int,EqualDistinctCount,6,271441,316680,45240,45240
movie_keyword,id,int,EqualDistinctCount,7,316681,361920,45240,45240
movie_keyword,id,int,EqualDistinctCount,8,361921,407160,45240,45240
movie_keyword,id,int,EqualDistinctCount,9,407161,452400,45240,45240
movie_keyword,id,int,EqualDistinctCount,10,452401,497640,45240,45240
movie_keyword,id,int,EqualDistinctCount,11,497641,542880,45240,45240
movie_keyword,id,int,EqualDistinctCount,12,542881,588120,45240,45240
movie_keyword,id,int,EqualDistinctCount,13,588121,633360,45240,45240
movie_keyword,id,int,EqualDistinctCount,14,633361,678600,45240,45240
movie_keyword,id,int,EqualDistinctCount,15,678601,723840,45240,45240
movie_keyword,id,int,EqualDistinctCount,16,723841,769080,45240,45240
movie_keyword,id,int,EqualDistinctCount,17,769081,814320,45240,45240
movie_keyword,id,int,EqualDistinctCount,18,814321,859560,45240,45240
movie_keyword,id,int,EqualDistinctCount,19,859561,904800,45240,45240
movie_keyword,id,int,EqualDistinctCount,20,904801,950040,45240,45240
movie_keyword,id,int,EqualDistinctCount,21,950041,995280,45240,45240
movie_keyword,id,int,EqualDistinctCount,22,995281,1040520,45240,45240
movie_keyword,id,int,EqualDistinctCount,23,1040521,1085760,45240,45240
movie_keyword,id,int,EqualDistinctCount,24,1085761,1131000,45240,45240
movie_keyword,id,int,EqualDistinctCount,25,1131001,1176240,45240,45240
movie_keyword,id,int,EqualDistinctCount,26,1176241,1221480,45240,45240
movie_keyword,id,int,EqualDistinctCount,27,1221481,1266720,45240,45240
movie_keyword,id,int,EqualDistinctCount,28,1266721,1311960,45240,45240
movie_keyword,id,int,EqualDistinctCount,29,1311961,1357200,45240,45240
movie_keyword,id,int,EqualDistinctCount,30,1357201,1402439,45239,45239
movie_keyword,id,int,EqualDistinctCount,31,1402440,1447678,45239,45239
movie_keyword,id,int,EqualDistinctCount,32,1447679,1492917,45239,45239
movie_keyword,id,int,EqualDistinctCount,33,1492918,1538156,45239,45239
movie_keyword,id,int,EqualDistinctCount,34,1538157,1583395,45239,45239
movie_keyword,id,int,EqualDistinctCount,35,1583396,1628634,45239,45239
movie_keyword,id,int,EqualDistinctCount,36,1628635,1673873,45239,45239
movie_keyword,id,int,EqualDistinctCount,37,1673874,1719112,45239,45239
movie_keyword,id,int,EqualDistinctCount,38,1719113,1764351,45239,45239
movie_keyword,id,int,EqualDistinctCount,39,1764352,1809590,45239,45239
movie_keyword,id,int,EqualDistinctCount,40,1809591,1854829,45239,45239
movie_keyword,id,int,EqualDistinctCount,41,1854830,1900068,45239,45239
